Ship Mode,Segment,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Shipping days,latitude,longitude
Standard Class,Consumer,Costa Mesa,California,92627.0,West,Office Supplies,Binders,119.616,8.0,0.2,40.3704,6.0,33.64,-117.91
Standard Class,Consumer,Costa Mesa,California,92628.0,West,Furniture,Furnishings,255.76,4.0,0.0,81.8432,6.0,33.64,-117.91
Standard Class,Consumer,Costa Mesa,California,92627.0,West,Furniture,Furnishings,241.568,2.0,0.2,18.1176,4.0,33.64,-117.91
Standard Class,Consumer,Costa Mesa,California,92627.0,West,Furniture,Furnishings,69.3,9.0,0.0,22.869,6.0,33.64,-117.91
Standard Class,Corporate,Parker,Colorado,80134.0,West,Office Supplies,Binders,22.62,2.0,0.7,6.8824000000000005,5.0,39.5,-104.76
Standard Class,Corporate,Parker,Colorado,80134.0,West,Office Supplies,Binders,14.952,2.0,0.7,-11.9616,5.0,39.5,-104.76
Standard Class,Corporate,Parker,Colorado,80138.0,West,Furniture,Furnishings,801.568,2.0,0.2,50.098,5.0,39.52,-104.67
Standard Class,Corporate,Parker,Colorado,80134.0,West,Office Supplies,Binders,32.792,1.0,0.2,11.8871,5.0,39.5,-104.76
Second Class,Corporate,New York City,New York,10024.0,East,Office Supplies,Binders,15.92,3.770643976020112,0.2,5.373,3.0,40.79,-73.97
Standard Class,Consumer,Atlanta,Georgia,30318.0,South,Office Supplies,Binders,2.74,3.770643976020112,0.0,0.7398,6.0,33.78,-84.44
Standard Class,Consumer,Atlanta,Georgia,30318.0,South,Office Supplies,Binders,8.34,3.770643976020112,0.0,2.1684,6.0,33.78,-84.44
Standard Class,Consumer,Atlanta,Georgia,30318.0,South,Furniture,Storage,46.74,3.0,0.0,7.803599999999999,6.0,33.78,-84.44
Standard Class,Consumer,Atlanta,Georgia,30318.0,South,Office Supplies,Binders,6354.95,3.770643976020112,0.0,3177.475,4.0,33.78,-84.44
First Class,Consumer,Gladstone,Missouri,64118.0,Central,Furniture,Furnishings,126.3,3.0,0.0,40.416,1.0,39.21,-94.57
First Class,Consumer,Gladstone,Missouri,64118.0,Central,Technology,Phones,38.04,2.0,0.0,12.1728,1.0,39.21,-94.57
First Class,Consumer,Newark,Ohio,43055.0,East,Office Supplies,Binders,7.152,3.0,0.0,0.7152,3.0,40.06,-82.42
Standard Class,Consumer,Los Angeles,California,90049.0,West,Office Supplies,Binders,6.63,3.0,0.0,1.7901,4.0,34.08,-118.49
Standard Class,Consumer,Los Angeles,California,90049.0,West,Office Supplies,Binders,5.88,2.0,0.0,1.7052,4.0,34.08,-118.49
Standard Class,Home Office,Great Falls,Montana,59405.0,West,Technology,Phones,2999.95,5.0,0.0,1379.977,5.0,47.29,-111.34
Standard Class,Home Office,Great Falls,Montana,59406.0,West,Office Supplies,Binders,51.45,3.0,0.0,13.8915,5.0,47.48,-111.25
Standard Class,Home Office,Great Falls,Montana,59405.0,West,Office Supplies,Binders,11.96,2.0,0.0,5.382,5.0,47.29,-111.34
Standard Class,Home Office,Great Falls,Montana,59405.0,West,Office Supplies,Binders,1126.02,3.0,0.0,56.301,4.0,47.29,-111.34
Standard Class,Consumer,Houston,Texas,77041.0,Central,Technology,Phones,18.392,1.0,0.2,5.2877,4.0,29.86,-95.58
Standard Class,Consumer,Houston,Texas,77041.0,Central,Office Supplies,Binders,129.568,2.0,0.2,-25.9136,4.0,29.86,-95.58
Standard Class,Consumer,Houston,Texas,77041.0,Central,Office Supplies,Binders,14.112,3.770643976020112,0.0,6.8824000000000005,4.0,29.86,-95.58
First Class,Corporate,Detroit,Michigan,48288.0,Central,Furniture,Furnishings,182.745,2.0,0.0,21.098,2.0,42.38,-83.1
First Class,Consumer,Los Angeles,California,90032.0,West,Technology,Phones,55.176,3.0,0.2,-12.4146,4.0,34.08,-118.17
First Class,Consumer,Los Angeles,California,90032.0,West,Technology,Phones,66.26,2.0,0.0,27.1666,4.0,34.08,-118.17
Standard Class,Consumer,Lawrence,Massachusetts,1841.0,East,Office Supplies,Binders,22.2,5.0,0.0,10.434,7.0,42.72,-71.15
Standard Class,Home Office,Lakeland,Florida,33801.0,South,Furniture,Furnishings,683.952,3.0,0.2,42.747,5.0,28.04,-81.9
Standard Class,Consumer,Lakeland,Florida,33815.0,South,Furniture,Furnishings,45.696,3.0,0.2,5.1408,5.0,28.04,-81.96
Standard Class,Consumer,Philadelphia,Pennsylvania,19134.0,East,Office Supplies,Binders,36.336,3.0,0.2,-7.2672,4.0,39.99,-75.11
Standard Class,Consumer,Philadelphia,Pennsylvania,19134.0,East,Office Supplies,Binders,666.248,1.0,0.2,6.8824000000000005,4.0,39.99,-75.11
Standard Class,Consumer,Philadelphia,Pennsylvania,19134.0,East,Office Supplies,Binders,52.512,6.0,0.2,19.692,4.0,39.99,-75.11
Second Class,Corporate,Los Angeles,California,90036.0,West,Furniture,Furnishings,190.72,1.0,0.2,11.92,4.0,34.06,-118.35
Standard Class,Consumer,Los Angeles,California,90032.0,West,Furniture,Furnishings,47.94,3.0,0.0,2.397,4.0,34.08,-118.17
Second Class,Consumer,Montgomery,Alabama,36116.0,South,Technology,Phones,979.95,5.0,0.0,274.386,3.0,32.27,-86.21
Second Class,Consumer,Montgomery,Alabama,36116.0,South,Office Supplies,Binders,22.75,5.0,0.0,11.375,3.0,32.27,-86.21
Standard Class,Consumer,Mesa,Arizona,85277.0,West,Office Supplies,Binders,16.768,2.0,0.2,1.4672,6.0,33.45,-111.72
Second Class,Consumer,Chicago,Illinois,60653.0,Central,Office Supplies,Binders,42.616,7.0,0.8,-68.1856,4.0,41.82,-87.61
Standard Class,Home Office,New York City,New York,10009.0,East,Office Supplies,Binders,10.752,4.0,0.2,3.36,4.0,40.73,-73.98
Standard Class,Consumer,Henderson,Kentucky,42420.0,South,Office Supplies,Binders,152.94,3.0,0.0,6.8824000000000005,4.0,37.83,-87.58
Standard Class,Consumer,Henderson,Kentucky,42420.0,South,Furniture,Furnishings,283.92,4.0,0.0,70.98,4.0,37.83,-87.58
Standard Class,Consumer,Green Bay,Wisconsin,54302.0,Central,Technology,Phones,468.9,6.0,0.0,206.316,2.0,44.52,-87.98
Standard Class,Consumer,Springfield,Ohio,45503.0,East,Office Supplies,Binders,646.776,9.0,0.2,-145.5246,5.0,39.96,-83.77
Standard Class,Consumer,Fort Worth,Texas,76106.0,Central,Technology,Phones,58.112,2.0,0.2,7.264,5.0,32.82,-97.36
Standard Class,Consumer,Fort Worth,Texas,76106.0,Central,Technology,Phones,167.97,1.0,0.2,6.2995,5.0,32.82,-97.36
First Class,Home Office,New York City,New York,10035.0,East,Office Supplies,Binders,41.28,6.0,0.2,6.8824000000000005,3.0,40.8,-73.93
First Class,Home Office,New York,New York,10035.0,East,Office Supplies,Binders,13.36,2.0,0.0,6.8824000000000005,4.0,40.8,-73.93
Second Class,Corporate,Chicago,Illinois,60653.0,Central,Office Supplies,Binders,250.272,9.0,0.2,15.642,2.0,41.82,-87.61
Second Class,Corporate,Chicago,Illinois,60653.0,Central,Office Supplies,Binders,11.364,3.0,0.8,-17.046,2.0,41.82,-87.61
Second Class,Corporate,Chicago,Illinois,60653.0,Central,Office Supplies,Binders,8.72,5.0,0.2,6.8824000000000005,2.0,41.82,-87.61
Second Class,Consumer,San Francisco,California,94110.0,West,Furniture,Furnishings,1121.568,2.0,0.2,0.0,2.0,37.74,-122.41
First Class,Consumer,Jacksonville,Florida,32216.0,South,Furniture,Furnishings,34.504,1.0,0.2,6.0382,1.0,30.28,-81.58
Standard Class,Consumer,Houston,Texas,77299.0,Central,Office Supplies,Binders,10.824,3.0,0.2,6.8824000000000005,4.0,29.76,-95.38
Second Class,Corporate,Anaheim,California,92804.0,West,Office Supplies,Binders,1295.78,2.0,0.0,310.9872,4.0,33.81,-117.97
Second Class,Consumer,Wilmington,North Carolina,28403.0,South,Office Supplies,Binders,19.456,4.0,0.2,3.4048,4.0,34.21,-77.91
Standard Class,Consumer,Los Angeles,California,90045.0,West,Office Supplies,Binders,20.7,2.0,0.0,9.936,5.0,33.95,-118.4
Standard Class,Consumer,Los Angeles,California,90045.0,West,Furniture,Furnishings,1335.68,4.0,0.2,-217.048,4.0,33.95,-118.4
Standard Class,Consumer,Los Angeles,California,90045.0,West,Office Supplies,Binders,32.4,5.0,0.0,15.552,5.0,33.95,-118.4
Second Class,Consumer,San Francisco,California,94199.0,West,Furniture,Furnishings,42.6,3.0,0.0,16.614,2.0,37.77,-122.41
Second Class,Consumer,San Francisco,California,94110.0,West,Office Supplies,Binders,84.056,3.770643976020112,0.2,6.8824000000000005,2.0,37.74,-122.41
Standard Class,Consumer,Tampa,Florida,33614.0,South,Office Supplies,Binders,13.0,3.770643976020112,0.2,1.3,4.0,28.0,-82.51
Second Class,Consumer,Tampa,Florida,33614.0,South,Furniture,Furnishings,13.128,3.0,0.2,7.803599999999999,4.0,28.0,-82.51
First Class,Consumer,Seattle,Washington,98105.0,West,Office Supplies,Binders,3.96,3.770643976020112,0.0,0.0,2.0,47.66,-122.29
First Class,Consumer,Seattle,Washington,98105.0,West,Office Supplies,Binders,2.61,1.0,0.0,1.2006,2.0,47.66,-122.29
First Class,Consumer,Los Angeles,California,90008.0,West,Technology,Phones,374.376,3.0,0.2,46.797,3.0,34.01,-118.35
Standard Class,Corporate,Seattle,Washington,98105.0,West,Office Supplies,Binders,91.84,8.0,0.0,45.0016,7.0,47.66,-122.29
Standard Class,Corporate,Seattle,Washington,98105.0,West,Office Supplies,Binders,19.44,3.0,0.0,9.3312,4.0,47.66,-122.29
Standard Class,Corporate,Seattle,Washington,98105.0,West,Furniture,Furnishings,451.152,3.0,0.2,0.0,7.0,47.66,-122.29
Standard Class,Consumer,New York City,New York,10024.0,East,Office Supplies,Binders,13.96,4.0,0.0,6.4216,4.0,40.79,-73.97
Standard Class,Consumer,New York City,New York,10024.0,East,Office Supplies,Binders,33.264,7.0,0.2,11.2266,7.0,40.79,-73.97
Standard Class,Consumer,New York City,New York,10024.0,East,Technology,Phones,14.85,3.0,0.0,25.1916,7.0,40.79,-73.97
Standard Class,Consumer,Marysville,Washington,98270.0,West,Office Supplies,Binders,8.82,3.0,0.0,2.3814,4.0,48.05,-122.14
Second Class,Consumer,Long Beach,California,90805.0,West,Office Supplies,Binders,160.72,14.0,0.0,78.7528,4.0,33.86,-118.18
Second Class,Consumer,Long Beach,California,90899.0,West,Office Supplies,Binders,19.92,4.0,0.0,9.7608,4.0,33.77,-118.19
Second Class,Consumer,Long Beach,California,90805.0,West,Office Supplies,Binders,7.3,2.0,0.0,2.19,4.0,33.86,-118.18
Standard Class,Consumer,Chicago,Illinois,60610.0,Central,Office Supplies,Binders,69.712,2.0,0.2,8.714,4.0,41.91,-87.63
Standard Class,Consumer,Chicago,Illinois,60610.0,Central,Furniture,Furnishings,8.792,3.831979695431472,0.6,-5.7148,4.0,41.91,-87.63
Standard Class,Consumer,Los Angeles,California,90004.0,West,Office Supplies,Binders,51.52,4.0,0.0,1.5456,4.0,34.07,-118.31
Standard Class,Consumer,Denver,Colorado,80219.0,West,Technology,Phones,470.376,3.0,0.2,52.9173,4.0,39.7,-105.04
Standard Class,Consumer,Denver,Colorado,80219.0,West,Technology,Phones,167.97,2.0,0.2,9.2386,4.0,39.7,-105.04
Standard Class,Consumer,Denver,Colorado,80219.0,West,Office Supplies,Binders,26.968,3.0,0.2,3.5046,4.0,39.7,-105.04
Standard Class,Consumer,Denver,Colorado,80219.0,West,Office Supplies,Binders,6.783,7.0,0.7,-4.7481,4.0,39.7,-105.04
Standard Class,Consumer,Denver,Colorado,80219.0,West,Technology,Phones,406.368,4.0,0.2,30.4776,4.0,39.7,-105.04
Standard Class,Consumer,Richmond,Kentucky,40475.0,South,Furniture,Furnishings,70.98,1.0,0.2,4.9686,4.0,37.74,-84.29
Standard Class,Consumer,Richmond,Kentucky,40476.0,South,Office Supplies,Binders,294.93,3.0,0.0,144.5157,6.0,37.74,-84.29
Standard Class,Consumer,Salem,Oregon,97301.0,West,Office Supplies,Binders,20.736,3.770643976020112,0.2,7.2576,4.0,44.95,-123.0
Standard Class,Consumer,Salem,Oregon,97301.0,West,Office Supplies,Binders,16.821,3.0,0.0,-12.8961,4.0,44.95,-123.0
Standard Class,Consumer,Salem,Oregon,97301.0,West,Office Supplies,Binders,10.368,2.0,0.2,3.6288,4.0,44.95,-123.0
Standard Class,Consumer,Laredo,Texas,78041.0,Central,Office Supplies,Binders,9.344,2.0,0.2,1.168,4.0,27.55,-99.46
Standard Class,Consumer,Laredo,Texas,78041.0,Central,Technology,Phones,31.2,3.0,0.2,25.1916,4.0,27.55,-99.46
Standard Class,Consumer,San Diego,California,92024.0,West,Office Supplies,Binders,76.12,2.0,0.0,22.0748,7.0,33.05,-117.25
Standard Class,Consumer,San Diego,California,92199.0,West,Technology,Phones,1199.976,3.0,0.2,434.9913,7.0,32.99,-117.07
Standard Class,Consumer,San Diego,California,92024.0,West,Technology,Phones,445.96,3.7777777777777777,0.2,55.745,4.0,33.05,-117.25
Standard Class,Consumer,Encinitas,California,92024.0,West,Furniture,Furnishings,327.76,8.0,0.0,91.7728,7.0,33.05,-117.25
First Class,Consumer,Philadelphia,Pennsylvania,19134.0,East,Office Supplies,Binders,11.632,2.0,0.2,1.0178,2.0,39.99,-75.11
Standard Class,Consumer,Philadelphia,Pennsylvania,19120.0,East,Technology,Phones,143.982,3.0,0.4,-28.7964,5.0,40.03,-75.12
Standard Class,Consumer,Philadelphia,Pennsylvania,19120.0,East,Technology,Phones,167.97,3.7777777777777777,0.2,25.1916,4.0,40.03,-75.12
Standard Class,Consumer,Philadelphia,Pennsylvania,19120.0,East,Office Supplies,Binders,5.84,2.0,0.0,0.73,5.0,40.03,-75.12
Standard Class,Consumer,Tampa,Florida,33614.0,South,Office Supplies,Binders,142.776,1.0,0.2,17.847,4.0,28.0,-82.51
Standard Class,Consumer,Tampa,Florida,33614.0,South,Furniture,Furnishings,45.696,3.0,0.2,5.1408,4.0,28.0,-82.51
Standard Class,Consumer,Tampa,Florida,33614.0,South,Office Supplies,Binders,7.218,3.0,0.7,-5.5338,4.0,28.0,-82.51
Standard Class,Consumer,Tampa,Florida,33614.0,South,Office Supplies,Binders,43.188,4.0,0.7,-31.6712,4.0,28.0,-82.51
Standard Class,Consumer,Tampa,Florida,33614.0,South,Office Supplies,Binders,131.904,3.0,0.2,47.8152,4.0,28.0,-82.51
Standard Class,Consumer,Philadelphia,Pennsylvania,19134.0,East,Office Supplies,Binders,3.282,2.0,0.7,-2.6256,4.0,39.99,-75.11
Standard Class,Consumer,Philadelphia,Pennsylvania,19134.0,East,Technology,Phones,55.188,3.7777777777777777,0.2,25.1916,4.0,39.99,-75.11
First Class,Corporate,Dallas,Texas,75217.0,Central,Technology,Phones,369.576,3.0,0.2,41.5773,3.0,32.71,-96.68
First Class,Corporate,Dallas,Texas,75217.0,Central,Office Supplies,Binders,15.712,4.0,0.2,5.6956,3.0,32.71,-96.68
Second Class,Corporate,Philadelphia,Pennsylvania,19143.0,East,Office Supplies,Binders,8.448,2.0,0.2,6.8824000000000005,4.0,39.94,-75.23
Second Class,Corporate,Philadelphia,Pennsylvania,19143.0,East,Technology,Phones,167.97,3.7777777777777777,0.4,25.1916,2.0,39.94,-75.23
Second Class,Consumer,Grove City,Ohio,43123.0,East,Technology,Phones,119.94,10.0,0.4,15.992,4.0,39.87,-83.07
Second Class,Consumer,Grove City,Ohio,43123.0,East,Office Supplies,Binders,3.648,2.0,0.7,-2.7968,3.0,39.87,-83.07
Second Class,Corporate,New York City,New York,10011.0,East,Furniture,Furnishings,40.48,2.0,0.0,15.7872,5.0,40.74,-74.0
Second Class,Corporate,New York City,New York,10011.0,East,Furniture,Furnishings,9.94,2.0,0.0,3.0814,5.0,40.74,-74.0
Second Class,Corporate,New York City,New York,10011.0,East,Office Supplies,Binders,107.424,9.0,0.2,33.57,5.0,40.74,-74.0
Second Class,Corporate,New York City,New York,10011.0,East,Furniture,Furnishings,88.02,3.0,0.0,27.2862,4.0,40.74,-74.0
Standard Class,Consumer,Chicago,Illinois,60610.0,Central,Office Supplies,Binders,8.69,5.0,0.8,6.8824000000000005,5.0,41.91,-87.63
Standard Class,Corporate,Dearborn,Michigan,48126.0,Central,Furniture,Furnishings,301.96,2.0,0.0,87.5684,4.0,42.33,-83.18
Standard Class,Corporate,Dearborn,Michigan,48126.0,Central,Office Supplies,Binders,555.21,5.0,0.1,178.901,4.0,42.33,-83.18
Standard Class,Corporate,Dearborn,Michigan,48126.0,Central,Office Supplies,Binders,523.48,4.0,0.0,130.87,4.0,42.33,-83.18
Standard Class,Corporate,Dearborn,Michigan,48126.0,Central,Office Supplies,Binders,161.82,9.0,0.0,46.9278,4.0,42.33,-83.18
Standard Class,Home Office,New York City,New York,10009.0,East,Furniture,Furnishings,35.56,7.0,0.2,12.0904,4.0,40.73,-73.98
Standard Class,Consumer,Seattle,Washington,98115.0,West,Technology,Appliances,97.16,2.0,0.0,28.1764,4.0,47.68,-122.28
Standard Class,Consumer,San Francisco,California,94122.0,West,Office Supplies,Binders,13.23,3.0,0.0,6.0858,4.0,37.76,-122.48
Second Class,Consumer,Aurora,Colorado,80013.0,West,Furniture,Storage,243.384,3.0,0.2,-51.7191,4.0,39.66,-104.77
Second Class,Consumer,Aurora,Colorado,80013.0,West,Technology,Phones,119.8,5.0,0.2,29.95,2.0,39.66,-104.77
Second Class,Consumer,Aurora,Colorado,80013.0,West,Technology,Phones,300.768,3.7777777777777777,0.2,30.0768,2.0,39.66,-104.77
Second Class,Consumer,Miami,Florida,33180.0,South,Technology,Phones,17.88,3.0,0.2,2.4585,4.0,25.96,-80.14
Second Class,Consumer,Miami,Florida,33180.0,South,Office Supplies,Binders,26.968,3.0,0.2,85.5297,4.0,25.96,-80.14
Second Class,Corporate,Warner Robins,Georgia,31088.0,South,Furniture,Furnishings,182.745,3.0,0.0,7.803599999999999,5.0,32.61,-83.63
Standard Class,Consumer,Aurora,Colorado,80013.0,West,Office Supplies,Binders,18.882,3.0,0.7,-13.8468,6.0,39.66,-104.77
Standard Class,Consumer,Aurora,Colorado,80013.0,West,Office Supplies,Binders,122.328,3.0,0.2,12.2328,6.0,39.66,-104.77
Standard Class,Home Office,Vallejo,California,94591.0,West,Office Supplies,Binders,15.424,4.0,0.2,5.0128,5.0,38.11,-122.2
Standard Class,Corporate,Minneapolis,Minnesota,55407.0,Central,Furniture,Furnishings,18.84,3.0,0.0,6.0288,4.0,44.94,-93.25
Second Class,Consumer,Mission Viejo,California,92691.0,West,Office Supplies,Binders,330.4,2.0,0.0,85.904,4.0,33.6,-117.66
Second Class,Consumer,Mission Viejo,California,92691.0,West,Office Supplies,Binders,26.25,7.0,0.0,12.6,4.0,33.6,-117.66
Standard Class,Home Office,Plainfield,New Jersey,7060.0,East,Office Supplies,Binders,6.48,1.0,0.0,3.1752,4.0,40.62,-74.42
Standard Class,Home Office,Columbus,Indiana,47201.0,Central,Office Supplies,Binders,209.3,2.0,0.0,56.511,6.0,39.21,-85.91
Standard Class,Corporate,Sierra Vista,Arizona,85635.0,West,Office Supplies,Binders,31.56,5.0,0.2,9.8625,7.0,31.59,-110.17
Standard Class,Corporate,Sierra Vista,Arizona,85635.0,West,Office Supplies,Binders,30.144,2.0,0.2,3.0144,7.0,31.59,-110.17
Second Class,Corporate,Vancouver,Washington,98661.0,West,Furniture,Furnishings,14.8,4.0,0.0,6.068,5.0,45.64,-122.63
Second Class,Consumer,Vancouver,Washington,98661.0,West,Technology,Phones,302.376,3.0,0.2,22.6782,5.0,45.64,-122.63
Second Class,Corporate,Vancouver,Washington,98687.0,West,Technology,Phones,316.0,4.0,0.0,31.6,4.0,45.63,-122.52
Standard Class,Home Office,New York City,New York,10024.0,East,Office Supplies,Binders,379.4,10.0,0.0,178.318,6.0,40.79,-73.97
Standard Class,Corporate,New York City,New York,10035.0,East,Office Supplies,Binders,97.82,2.0,0.0,45.9754,4.0,40.8,-73.93
Standard Class,Corporate,New York City,New York,10035.0,East,Technology,Phones,103.12,3.7777777777777777,0.0,10.312,4.0,40.8,-73.93
Standard Class,Consumer,Columbus,Ohio,43229.0,East,Technology,Appliances,167.97,2.0,0.2,8.5164,4.0,40.09,-82.98
Standard Class,Consumer,Columbus,Ohio,43299.0,East,Office Supplies,Binders,3.318,2.0,0.7,-2.6544,4.0,40.03,-82.86
Standard Class,Consumer,Columbus,Ohio,43229.0,East,Office Supplies,Binders,134.288,2.0,0.2,45.3222,6.0,40.09,-82.98
Same Day,Home Office,Aurora,Illinois,60505.0,Central,Furniture,Furnishings,701.372,2.0,0.3,-50.098,0.0,41.76,-88.29
Standard Class,Consumer,Arlington,Texas,76096.0,Central,Furniture,Storage,724.08,14.0,0.2,-135.765,4.0,32.69,-97.12
Standard Class,Consumer,Arlington,Texas,76017.0,Central,Furniture,Tables,918.785,5.0,0.3,-118.1295,4.0,32.66,-97.16
Standard Class,Consumer,Arlington,Texas,76017.0,Central,Office Supplies,Binders,2.724,3.0,0.8,-4.2222,4.0,32.66,-97.16
Standard Class,Corporate,New York City,New York,10011.0,East,Office Supplies,Binders,459.95,5.0,0.0,18.398,4.0,40.74,-74.0
Same Day,Consumer,Louisville,Kentucky,40214.0,South,Office Supplies,Binders,10.74,3.0,0.0,5.2626,0.0,38.15,-85.78
Second Class,Corporate,Dallas,Texas,75081.0,Central,Office Supplies,Binders,23.76,3.0,0.0,2.079,2.0,32.97,-96.7
Second Class,Corporate,Dallas,Texas,75081.0,Central,Office Supplies,Binders,85.056,3.0,0.2,28.7064,2.0,32.97,-96.7
Second Class,Corporate,Dallas,Texas,75081.0,Central,Technology,Phones,381.576,3.0,0.2,28.6182,4.0,32.97,-96.7
First Class,Consumer,Cleveland,Ohio,44105.0,East,Furniture,Furnishings,30.36,5.0,0.2,8.7285,2.0,41.45,-81.63
Standard Class,Home Office,Chicago,Illinois,60653.0,Central,Furniture,Furnishings,182.745,3.0,0.6,-14.3856,4.0,41.82,-87.61
Standard Class,Home Office,Chicago,Illinois,60653.0,Central,Office Supplies,Binders,36.352,8.0,0.2,11.36,4.0,41.82,-87.61
Standard Class,Consumer,Quincy,Illinois,62301.0,Central,Office Supplies,Binders,19.56,5.0,0.0,1.7115,7.0,39.93,-91.38
First Class,Consumer,Columbus,Indiana,47201.0,Central,Office Supplies,Binders,61.44,3.0,0.0,16.5888,3.0,39.21,-85.91
First Class,Consumer,Columbus,Indiana,47201.0,Central,Office Supplies,Paper,38.9,5.0,0.0,17.505,3.0,39.21,-85.91
First Class,Consumer,Columbus,Indiana,47201.0,Central,Technology,Phones,99.39,3.0,0.0,40.7499,3.0,39.21,-85.91
Standard Class,Consumer,Tyler,Texas,75701.0,Central,Technology,Appliances,2.688,3.0,0.8,-7.392,5.0,32.32,-95.3
Standard Class,Consumer,Tyler,Texas,75701.0,Central,Technology,Phones,27.816,3.0,0.2,4.5201,5.0,32.32,-95.3
Standard Class,Consumer,Tyler,Texas,75799.0,Central,Furniture,Furnishings,82.524,3.831979695431472,0.6,-41.262,5.0,32.32,-95.3
Standard Class,Consumer,Tyler,Texas,75701.0,Central,Office Supplies,Binders,182.994,3.0,0.8,-320.2395,5.0,32.32,-95.3
Standard Class,Consumer,New York City,New York,10024.0,East,Office Supplies,Binders,14.352,3.0,0.2,4.6644,5.0,40.79,-73.97
Standard Class,Consumer,New York City,New York,10024.0,East,Office Supplies,Binders,64.96,2.0,0.0,2.5984,5.0,40.79,-73.97
Standard Class,Consumer,New York,New York,10024.0,East,Furniture,Storage,182.745,4.0,0.0,18.522,5.0,40.79,-73.97
Same Day,Corporate,Burlington,North Carolina,27217.0,South,Technology,Machines,7999.98,3.7777777777777777,0.2,-3839.9904,4.0,36.19,-79.38
Same Day,Corporate,Burlington,North Carolina,27217.0,South,Office Supplies,Binders,167.44,2.0,0.2,14.651,4.0,36.19,-79.38
Standard Class,Consumer,Jackson,Mississippi,39212.0,South,Office Supplies,Binders,14.62,2.0,0.0,6.8824000000000005,3.0,32.24,-90.28
First Class,Consumer,Jackson,Mississippi,39212.0,South,Office Supplies,Binders,19.44,3.0,0.0,9.3312,3.0,32.24,-90.28
Second Class,Consumer,Waynesboro,Virginia,22980.0,South,Furniture,Furnishings,104.01,3.831979695431472,0.0,14.5614,2.0,38.06,-78.9
Second Class,Consumer,Waynesboro,Virginia,22980.0,South,Technology,Phones,284.82,1.0,0.0,74.0532,2.0,38.06,-78.9
Second Class,Consumer,Waynesboro,Virginia,22980.0,South,Office Supplies,Binders,36.84,3.0,0.0,10.3152,2.0,38.06,-78.9
Standard Class,Consumer,Los Angeles,California,90036.0,West,Technology,Phones,167.97,1.0,0.2,24.936,4.0,34.06,-118.35
Standard Class,Consumer,Los Angeles,California,90036.0,West,Office Supplies,Binders,33.4,5.0,0.0,16.032,5.0,34.06,-118.35
First Class,Home Office,Chester,Pennsylvania,19013.0,East,Office Supplies,Binders,198.272,8.0,0.2,17.3488,3.0,39.84,-75.37
First Class,Home Office,Chester,Pennsylvania,19013.0,East,Office Supplies,Binders,47.36,4.0,0.2,17.76,3.0,39.84,-75.37
First Class,Home Office,Chester,Pennsylvania,19013.0,East,Office Supplies,Binders,200.984,7.0,0.2,62.8075,3.0,39.84,-75.37
Standard Class,Home Office,Chester,Pennsylvania,19013.0,East,Office Supplies,Binders,26.968,4.0,0.2,31.7512,3.0,39.84,-75.37
First Class,Home Office,Chester,Pennsylvania,19013.0,East,Office Supplies,Binders,2.696,1.0,0.2,0.8088,3.0,39.84,-75.37
First Class,Home Office,Chester,Pennsylvania,19013.0,East,Office Supplies,Binders,18.588,2.0,0.7,-13.6312,3.0,39.84,-75.37
First Class,Home Office,Chester,Pennsylvania,19013.0,East,Office Supplies,Binders,4.896,3.770643976020112,0.7,-3.4272,4.0,39.84,-75.37
Standard Class,Corporate,Cleveland,Ohio,44105.0,East,Furniture,Furnishings,15.072,3.0,0.2,4.1448,6.0,41.45,-81.63
Second Class,Corporate,Seattle,Washington,98103.0,West,Furniture,Furnishings,209.88,3.831979695431472,0.0,35.6796,4.0,47.67,-122.34
Standard Class,Consumer,Long Beach,California,90805.0,West,Furniture,Furnishings,369.912,3.0,0.2,-13.8717,5.0,33.86,-118.18
Standard Class,Corporate,Cary,North Carolina,27511.0,South,Office Supplies,Binders,10.368,2.0,0.2,3.6288,4.0,35.78,-78.79
Standard Class,Consumer,Cary,North Carolina,27511.0,South,Office Supplies,Binders,166.84,5.0,0.2,18.7695,5.0,35.78,-78.79
Standard Class,Corporate,Cary,North Carolina,27511.0,South,Technology,Phones,15.216,1.0,0.2,25.1916,5.0,35.78,-78.79
First Class,Consumer,New York City,New York,10035.0,East,Technology,Phones,119.96,4.0,0.0,52.7824,2.0,40.8,-73.93
First Class,Consumer,New York City,New York,10035.0,East,Furniture,Furnishings,883.92,5.0,0.2,-110.49,4.0,40.8,-73.93
First Class,Consumer,New York City,New York,10035.0,East,Office Supplies,Binders,46.72,8.0,0.2,15.768,2.0,40.8,-73.93
First Class,Home Office,New York City,New York,10035.0,East,Office Supplies,Binders,55.48,1.0,0.0,26.6304,2.0,40.8,-73.93
Standard Class,Consumer,Palm Coast,Florida,32137.0,South,Office Supplies,Binders,24.448,4.0,0.2,8.8624,4.0,29.57,-81.21
Standard Class,Corporate,Mount Vernon,New York,10550.0,East,Office Supplies,Binders,281.34,6.0,0.0,109.7226,5.0,40.91,-73.84
Standard Class,Corporate,Mount Vernon,New York,10550.0,East,Technology,Phones,307.98,2.0,0.0,89.3142,5.0,40.91,-73.84
Standard Class,Corporate,Mount Vernon,New York,10550.0,East,Technology,Phones,299.97,3.0,0.2,113.9886,5.0,40.91,-73.84
